"Year","Neighbourhood","Crimes"
2005-01-01,"North Industrial  (NBHD)",560
2005-01-01,"Westview  (NBHD)",550
2005-01-01,"Lawson Heights Suburban Centre  (NBHD)",536
2005-01-01,"Buena Vista  (NBHD)",530
2005-01-01,"Lakeview  (NBHD)",530
2005-01-01,"Central Industrial  (NBHD)",518
2005-01-01,"Parkridge  (NBHD)",494
2005-01-01,"Haultain  (NBHD)",482
2005-01-01,"Nutana Suburban Centre  (NBHD)",454
2005-01-01,"Dundonald  (NBHD)",434
2005-01-01,"U of S Lands - South Mgmt Area  (NBHD)",434
2005-01-01,"College Park East  (NBHD)",404
2005-01-01,"Grosvenor Park  (NBHD)",386
2005-01-01,"River Heights  (NBHD)",386
2005-01-01,"Queen Elizabeth  (NBHD)",352
2005-01-01,"Lawson Heights  (NBHD)",348
2005-01-01,"Adelaide/Churchill  (NBHD)",346
2005-01-01,"Avalon  (NBHD)",320
2005-01-01,"North Park  (NBHD)",304
2005-01-01,"Nutana Park  (NBHD)",284
2005-01-01,"Hudson Bay Industrial  (NBHD)",270
2005-01-01,"Holiday Park  (NBHD)",254
2005-01-01,"Eastview  (NBHD)",224
2005-01-01,"Montgomery Place  (NBHD)",218
2005-01-01,"Erindale  (NBHD)",186
2005-01-01,"Lakeridge  (NBHD)",180
2005-01-01,"University Heights Suburban Centre  (NBHD)",176
2005-01-01,"Sutherland Industrial  (NBHD)",154
2005-01-01,"West Industrial  (NBHD)",152
2005-01-01,"Arbor Creek  (NBHD)",144
2005-01-01,"Briarwood  (NBHD)",124
2005-01-01,"Silverspring  (NBHD)",122
2005-01-01,"Richmond Heights  (NBHD)",112
2005-01-01,"Agriplace  (NBHD)",110
2005-01-01,"South West Industrial  (NBHD)",106
2005-01-01,"CN Industrial  (NBHD)",100
2005-01-01,"Marquis Industrial  (NBHD)",72
2005-01-01,"Lakewood Suburban Centre  (NBHD)",54
2005-01-01,"U of S Lands - North Mgmt Area  (NBHD)",44
2005-01-01,"Blairmore Development Area  (NBHD)",26
2005-01-01,"Gordie Howe Mgmt Area  (NBHD)",24
2005-01-01,"Stonebridge  (NBHD)",18
2005-01-01,"Willowgrove  (NBHD)",16
2005-01-01,"Airport Mgmt Area  (NBHD)",10
2005-01-01,"Hampton Village  (NBHD)",8
2005-01-01,"Diefenbaker Mgmt Area  (NBHD)",4
2005-01-01,"SaskPower Mgmt Area  (NBHD)",4
2005-01-01,"CN Yards Mgmt Area  (NBHD)",2
2005-01-01,"The Willows  (NBHD)",2
2005-01-01,"University Heights Development Area  (NBHD)",2
2005-01-01,"Agpro Industrial  (NBHD)",0
2005-01-01,"Blairmore Suburban Centre  (NBHD)",0
2005-01-01,"SE Development Area  (NBHD)",0
2006-01-01,"Central Business District  (NBHD)",3706
2006-01-01,"Pleasant Hill  (NBHD)",2959
2006-01-01,"Riversdale  (NBHD)",2240
2006-01-01,"Confederation Suburban Centre  (NBHD)",1472
2006-01-01,"Caswell Hill  (NBHD)",1463
2006-01-01,"Confederation Park  (NBHD)",1438
2006-01-01,"Mount Royal  (NBHD)",1372
2006-01-01,"Nutana  (NBHD)",1331
2006-01-01,"Meadowgreen  (NBHD)",1202
2006-01-01,"Mayfair  (NBHD)",1050
2006-01-01,"Sutherland  (NBHD)",992
2006-01-01,"Westmount  (NBHD)",987
2006-01-01,"City Park  (NBHD)",962
2006-01-01,"King George  (NBHD)",832
2006-01-01,"Wildwood  (NBHD)",824
2006-01-01,"Forest Grove  (NBHD)",806
2006-01-01,"College Park  (NBHD)",791
2006-01-01,"Massey Place  (NBHD)",787
2006-01-01,"Varsity View  (NBHD)",682
2006-01-01,"Pacific Heights  (NBHD)",673
2006-01-01,"Fairhaven  (NBHD)",644
2006-01-01,"Parkridge  (NBHD)",622
2006-01-01,"Kelsey - Woodlawn  (NBHD)",614
2006-01-01,"Brevoort Park  (NBHD)",604
2006-01-01,"Silverwood Heights  (NBHD)",603
2006-01-01,"Holliston  (NBHD)",567
2006-01-01,"Dundonald  (NBHD)",534
2006-01-01,"Exhibition  (NBHD)",526
2006-01-01,"Lakeview  (NBHD)",526
2006-01-01,"Greystone Heights  (NBHD)",519
2006-01-01,"Airport Business Area  (NBHD)",502
2006-01-01,"Westview  (NBHD)",483
2006-01-01,"North Industrial  (NBHD)",478
