"Year","Neighbourhood","Crimes"
2010-01-01,"University Heights Suburban Centre  (NBHD)",246
2010-01-01,"Adelaide/Churchill  (NBHD)",235
2010-01-01,"Hampton Village  (NBHD)",232
2010-01-01,"Eastview  (NBHD)",226
2010-01-01,"Montgomery Place  (NBHD)",191
2010-01-01,"Lakeridge  (NBHD)",189
2010-01-01,"North Park  (NBHD)",185
2010-01-01,"Nutana Park  (NBHD)",176
2010-01-01,"Arbor Creek  (NBHD)",172
2010-01-01,"Erindale  (NBHD)",171
2010-01-01,"Briarwood  (NBHD)",156
2010-01-01,"Silverspring  (NBHD)",145
2010-01-01,"Sutherland Industrial  (NBHD)",140
2010-01-01,"Willowgrove  (NBHD)",136
2010-01-01,"Marquis Industrial  (NBHD)",134
2010-01-01,"Lakewood Suburban Centre  (NBHD)",113
2010-01-01,"Agriplace  (NBHD)",98
2010-01-01,"South West Industrial  (NBHD)",98
2010-01-01,"West Industrial  (NBHD)",88
2010-01-01,"U of S Lands - North Mgmt Area  (NBHD)",64
2010-01-01,"CN Industrial  (NBHD)",59
2010-01-01,"Airport Mgmt Area  (NBHD)",48
2010-01-01,"Richmond Heights  (NBHD)",48
2010-01-01,"U of S Lands - South Mgmt Area  (NBHD)",37
2010-01-01,"Blairmore Development Area  (NBHD)",28
2010-01-01,"Diefenbaker Mgmt Area  (NBHD)",12
2010-01-01,"Gordie Howe Mgmt Area  (NBHD)",10
2010-01-01,"CN Yards Mgmt Area  (NBHD)",8
2010-01-01,"University Heights Development Area  (NBHD)",8
2010-01-01,"The Willows  (NBHD)",6
2010-01-01,"Rosewood  (NBHD)",6
2010-01-01,"SaskPower Mgmt Area  (NBHD)",4
2010-01-01,"Agpro Industrial  (NBHD)",2
2010-01-01,"SE Development Area  (NBHD)",0
2010-01-01,"Silverwood Industrial  (NBHD)",0
2011-01-01,"Central Business District  (NBHD)",2549
2011-01-01,"Pleasant Hill  (NBHD)",2300
2011-01-01,"Riversdale  (NBHD)",1366
2011-01-01,"Caswell Hill  (NBHD)",1210
2011-01-01,"Mayfair  (NBHD)",1089
2011-01-01,"Nutana  (NBHD)",1067
2011-01-01,"Mount Royal  (NBHD)",1013
2011-01-01,"Kelsey - Woodlawn  (NBHD)",1006
2011-01-01,"Westmount  (NBHD)",991
2011-01-01,"Confederation Suburban Centre  (NBHD)",982
2011-01-01,"Meadowgreen  (NBHD)",856
2011-01-01,"Confederation Park  (NBHD)",813
2011-01-01,"City Park  (NBHD)",792
2011-01-01,"Sutherland  (NBHD)",767
2011-01-01,"Wildwood  (NBHD)",658
2011-01-01,"Fairhaven  (NBHD)",604
2011-01-01,"College Park  (NBHD)",563
2011-01-01,"North Industrial  (NBHD)",533
2011-01-01,"Stonebridge  (NBHD)",528
2011-01-01,"Brevoort Park  (NBHD)",520
2011-01-01,"Varsity View  (NBHD)",512
2011-01-01,"Silverwood Heights  (NBHD)",473
2011-01-01,"Greystone Heights  (NBHD)",449
2011-01-01,"Central Industrial  (NBHD)",445
2011-01-01,"Westview  (NBHD)",438
2011-01-01,"Holliston  (NBHD)",434
2011-01-01,"Airport Business Area  (NBHD)",424
2011-01-01,"Exhibition  (NBHD)",415
2011-01-01,"Massey Place  (NBHD)",413
2011-01-01,"King George  (NBHD)",410
2011-01-01,"Forest Grove  (NBHD)",400
2011-01-01,"Hudson Bay Park  (NBHD)",375
2011-01-01,"Pacific Heights  (NBHD)",374
2011-01-01,"Lawson Heights Suburban Centre  (NBHD)",373
2011-01-01,"Parkridge  (NBHD)",371
2011-01-01,"Dundonald  (NBHD)",355
2011-01-01,"Nutana Suburban Centre  (NBHD)",354
2011-01-01,"Buena Vista  (NBHD)",340
2011-01-01,"Lakeview  (NBHD)",339
2011-01-01,"River Heights  (NBHD)",334
2011-01-01,"Haultain  (NBHD)",333
2011-01-01,"Blairmore Suburban Centre  (NBHD)",325
2011-01-01,"Willowgrove  (NBHD)",302
2011-01-01,"Hampton Village  (NBHD)",294
2011-01-01,"Queen Elizabeth  (NBHD)",294
2011-01-01,"University Heights Suburban Centre  (NBHD)",287
2011-01-01,"Lawson Heights  (NBHD)",280
2011-01-01,"College Park East  (NBHD)",270
2011-01-01,"Silverspring  (NBHD)",260
2011-01-01,"Eastview  (NBHD)",259
2011-01-01,"Grosvenor Park  (NBHD)",256
2011-01-01,"Adelaide/Churchill  (NBHD)",255
2011-01-01,"Avalon  (NBHD)",254
2011-01-01,"Hudson Bay Industrial  (NBHD)",232
2011-01-01,"North Park  (NBHD)",230
2011-01-01,"Briarwood  (NBHD)",224
2011-01-01,"Erindale  (NBHD)",216
2011-01-01,"Holiday Park  (NBHD)",216
2011-01-01,"Arbor Creek  (NBHD)",199
2011-01-01,"Nutana Park  (NBHD)",198
2011-01-01,"Marquis Industrial  (NBHD)",174
2011-01-01,"Montgomery Place  (NBHD)",153
2011-01-01,"Lakeridge  (NBHD)",150
2011-01-01,"Agriplace  (NBHD)",128
2011-01-01,"Lakewood Suburban Centre  (NBHD)",127
2011-01-01,"U of S Lands - North Mgmt Area  (NBHD)",97
2011-01-01,"Sutherland Industrial  (NBHD)",96
2011-01-01,"U of S Mgmt Area  (NBHD)",72
2011-01-01,"West Industrial  (NBHD)",71
2011-01-01,"Richmond Heights  (NBHD)",69
2011-01-01,"U of S Lands - South Mgmt Area  (NBHD)",62
2011-01-01,"South West Industrial  (NBHD)",57
2011-01-01,"CN Industrial  (NBHD)",49
2011-01-01,"Airport Mgmt Area  (NBHD)",32
2011-01-01,"Blairmore Development Area  (NBHD)",24
2011-01-01,"Gordie Howe Mgmt Area  (NBHD)",20
2011-01-01,"The Willows  (NBHD)",20
2011-01-01,"Rosewood  (NBHD)",19
2011-01-01,"Agpro Industrial  (NBHD)",6
2011-01-01,"Diefenbaker Mgmt Area  (NBHD)",6
2011-01-01,"SaskPower Mgmt Area  (NBHD)",2
2011-01-01,"CN Yards Mgmt Area  (NBHD)",0
2011-01-01,"SE Development Area  (NBHD)",0
2011-01-01,"University Heights Development Area  (NBHD)",0
2011-01-01,"Silverwood Industrial  (NBHD)",0
2012-01-01,"Central Business District  (NBHD)",2541
2012-01-01,"Pleasant Hill  (NBHD)",2165
2012-01-01,"Riversdale  (NBHD)",1490
2012-01-01,"Caswell Hill  (NBHD)",1175
2012-01-01,"Confederation Suburban Centre  (NBHD)",1150
2012-01-01,"Nutana  (NBHD)",939
2012-01-01,"Mayfair  (NBHD)",892
2012-01-01,"Mount Royal  (NBHD)",825
2012-01-01,"Westmount  (NBHD)",788
2012-01-01,"City Park  (NBHD)",765
2012-01-01,"Confederation Park  (NBHD)",750
2012-01-01,"Meadowgreen  (NBHD)",735
2012-01-01,"Wildwood  (NBHD)",640
2012-01-01,"Brevoort Park  (NBHD)",600
2012-01-01,"North Industrial  (NBHD)",593
2012-01-01,"College Park  (NBHD)",590
2012-01-01,"Central Industrial  (NBHD)",584
2012-01-01,"Kelsey - Woodlawn  (NBHD)",537
2012-01-01,"Sutherland  (NBHD)",529
2012-01-01,"Varsity View  (NBHD)",520
2012-01-01,"Blairmore Suburban Centre  (NBHD)",487
2012-01-01,"Massey Place  (NBHD)",483
2012-01-01,"Fairhaven  (NBHD)",472
2012-01-01,"King George  (NBHD)",430
2012-01-01,"Greystone Heights  (NBHD)",429
2012-01-01,"Airport Business Area  (NBHD)",419
2012-01-01,"Stonebridge  (NBHD)",400
2012-01-01,"Silverwood Heights  (NBHD)",382
2012-01-01,"Pacific Heights  (NBHD)",376
2012-01-01,"Holliston  (NBHD)",371
2012-01-01,"Parkridge  (NBHD)",344
2012-01-01,"Hudson Bay Park  (NBHD)",339
2012-01-01,"Forest Grove  (NBHD)",334
2012-01-01,"Lakeview  (NBHD)",332
2012-01-01,"Westview  (NBHD)",316
2012-01-01,"Hudson Bay Industrial  (NBHD)",312
2012-01-01,"Haultain  (NBHD)",309
2012-01-01,"Lawson Heights Suburban Centre  (NBHD)",309
2012-01-01,"Exhibition  (NBHD)",300
2012-01-01,"Nutana Suburban Centre  (NBHD)",292
2012-01-01,"Dundonald  (NBHD)",288
2012-01-01,"Hampton Village  (NBHD)",283
2012-01-01,"Grosvenor Park  (NBHD)",278
2012-01-01,"Buena Vista  (NBHD)",273
2012-01-01,"University Heights Suburban Centre  (NBHD)",262
2012-01-01,"Eastview  (NBHD)",260
2012-01-01,"Avalon  (NBHD)",257
2012-01-01,"Queen Elizabeth  (NBHD)",252
2012-01-01,"Lawson Heights  (NBHD)",244
2012-01-01,"Adelaide/Churchill  (NBHD)",242
2012-01-01,"College Park East  (NBHD)",240
2012-01-01,"River Heights  (NBHD)",225
2012-01-01,"Holiday Park  (NBHD)",209
2012-01-01,"North Park  (NBHD)",203
2012-01-01,"Sutherland Industrial  (NBHD)",192
2012-01-01,"Briarwood  (NBHD)",166
2012-01-01,"Nutana Park  (NBHD)",166
2012-01-01,"Willowgrove  (NBHD)",162
2012-01-01,"Lakeridge  (NBHD)",158
2012-01-01,"Silverspring  (NBHD)",153
2012-01-01,"Arbor Creek  (NBHD)",137
2012-01-01,"Marquis Industrial  (NBHD)",125
2012-01-01,"U of S Lands - North Mgmt Area  (NBHD)",125
2012-01-01,"U of S Mgmt Area  (NBHD)",124
2012-01-01,"West Industrial  (NBHD)",123
2012-01-01,"Lakewood Suburban Centre  (NBHD)",118
2012-01-01,"Erindale  (NBHD)",94
2012-01-01,"Agriplace  (NBHD)",92
2012-01-01,"Montgomery Place  (NBHD)",81
2012-01-01,"U of S Lands - South Mgmt Area  (NBHD)",74
2012-01-01,"CN Industrial  (NBHD)",64
2012-01-01,"South West Industrial  (NBHD)",52
2012-01-01,"Richmond Heights  (NBHD)",44
2012-01-01,"Airport Mgmt Area  (NBHD)",38
2012-01-01,"Blairmore Development Area  (NBHD)",36
2012-01-01,"Rosewood  (NBHD)",30
2012-01-01,"Gordie Howe Mgmt Area  (NBHD)",28
2012-01-01,"The Willows  (NBHD)",18
2012-01-01,"Diefenbaker Mgmt Area  (NBHD)",10
2012-01-01,"SaskPower Mgmt Area  (NBHD)",8
2012-01-01,"CN Yards Mgmt Area  (NBHD)",6
2012-01-01,"Agpro Industrial  (NBHD)",2
2012-01-01,"SE Development Area  (NBHD)",0
2012-01-01,"University Heights Development Area  (NBHD)",0
2012-01-01,"Silverwood Industrial  (NBHD)",0
